model,feature,accuracy,precision,recall,f1,TP,FP,FN,TN,n_sentences
QWEN2.5_QWEN25_FS_CTX2t_Leg,zero-3sg-pres-s,0.968222442899702,0.1875,0.13636363636363635,0.15789473684210525,3,13,19,972,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,is-was-gen,0.9771598808341608,0.8333333333333334,0.18518518518518517,0.30303030303030304,5,1,22,979,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,zero-pl-s,0.9940417080436942,0.0,0.0,0.0,0,1,5,1001,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,double-object,0.9960278053624627,0.0,0.0,0.0,0,0,4,1003,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,existential-it,0.9791459781529295,0.0,0.0,0.0,0,0,21,986,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,demonstrative-them,0.9900695134061569,0.16666666666666666,1.0,0.2857142857142857,2,10,0,995,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,appositive-pleonastic-pronoun,0.9841112214498511,0.0,0.0,0.0,0,0,16,991,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,bin,0.9821251241310824,0.2727272727272727,0.23076923076923078,0.25,3,8,10,986,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,verb-stem,0.2847222222222222,0.021917808219178082,0.6956521739130435,0.04249667994687915,16,714,7,271,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,past-tense-swap,0.8758689175769613,0.05511811023622047,0.5833333333333334,0.10071942446043165,7,120,5,875,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,zero-rel-pronoun,0.9960278053624627,0.0,0.0,0.0,0,0,4,1003,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,preterite-had,0.9841112214498511,0.15384615384615385,0.2857142857142857,0.2,2,11,5,989,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,bare-got,0.9721946375372393,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,14,14,972,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,zero-poss,0.9612711022840119,0.06060606060606061,0.2,0.09302325581395349,2,31,8,966,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,zero-copula,0.900695134061569,0.08064516129032258,0.10416666666666667,0.09090909090909091,5,57,43,902,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,double-tense,0.9960278053624627,0.0,0.0,0.0,0,4,0,1003,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,be-construction,0.9821251241310824,0.0,0.0,0.0,0,14,4,989,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,resultant-done,0.9960278053624627,0.4,0.6666666666666666,0.5,2,3,1,1001,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,finna,0.9930486593843099,0.0,0.0,0.0,0,7,0,1000,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,come,0.9930486593843099,0.0,0.0,0.0,0,7,0,1000,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,double-modal,0.9990069513406157,0.0,0.0,0.0,0,1,0,1006,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,multiple-neg,0.8700396825396826,0.17419354838709677,0.9,0.2918918918918919,27,128,3,850,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,neg-inversion,0.9870903674280039,0.0,0.0,0.0,0,12,1,994,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,n-inv-neg-concord,0.9265873015873016,0.0,0.0,0.0,0,74,0,934,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,aint,0.9712301587301587,0.19444444444444445,1.0,0.32558139534883723,7,29,0,972,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,zero-3sg-pres-s,0.9533730158730159,0.1,0.13043478260869565,0.11320754716981132,3,27,20,958,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,is-was-gen,0.9751984126984127,0.75,0.1111111111111111,0.1935483870967742,3,1,24,980,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,zero-pl-s,0.9880952380952381,0.0,0.0,0.0,0,7,5,996,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,double-object,0.9950396825396826,0.0,0.0,0.0,0,1,4,1003,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,existential-it,0.9771825396825397,0.0,0.0,0.0,0,2,21,985,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,demonstrative-them,0.9821428571428571,0.1,1.0,0.18181818181818182,2,18,0,988,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,appositive-pleonastic-pronoun,0.9841269841269841,0.5,0.0625,0.1111111111111111,1,1,15,991,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,bin,0.9642857142857143,0.07407407407407407,0.15384615384615385,0.1,2,25,11,970,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,verb-stem,0.5773809523809523,0.03464203233256351,0.6521739130434783,0.06578947368421052,15,418,8,567,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,past-tense-swap,0.8492063492063492,0.039473684210526314,0.5,0.07317073170731707,6,146,6,850,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,zero-rel-pronoun,0.9930555555555556,0.0,0.0,0.0,0,3,4,1001,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,preterite-had,0.9801587301587301,0.11764705882352941,0.2857142857142857,0.16666666666666666,2,15,5,986,1008
QWEN2.5_QWEN25_FS_CTX2t_noLeg,bare-got,0.9732142857142857,0.36363636363636365,0.38095238095238093,0.37209302325581395,8,14,13,973,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,zero-poss,0.988011988011988,0.25,0.1,0.14285714285714285,1,3,9,988,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,zero-copula,0.938061938061938,0.0,0.0,0.0,0,14,48,939,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,double-tense,0.999000999000999,0.0,0.0,0.0,0,1,0,1000,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,be-construction,0.993006993006993,0.0,0.0,0.0,0,3,4,994,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,resultant-done,0.996003996003996,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,996,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,finna,0.995004995004995,0.0,0.0,0.0,0,5,0,996,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,come,0.994005994005994,0.0,0.0,0.0,0,6,0,995,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,multiple-neg,0.8204365079365079,0.13170731707317074,0.9,0.2297872340425532,27,178,3,800,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,neg-inversion,0.9850746268656716,0.0,0.0,0.0,0,14,1,990,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,n-inv-neg-concord,0.9125248508946322,0.0,0.0,0.0,0,88,0,918,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,aint,0.9860696517412936,0.3333333333333333,1.0,0.5,7,14,0,984,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,zero-3sg-pres-s,0.9722222222222222,0.14285714285714285,0.043478260869565216,0.06666666666666667,1,6,22,979,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,is-was-gen,0.9781746031746031,0.7272727272727273,0.2962962962962963,0.42105263157894735,8,3,19,978,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,zero-pl-s,0.9950347567030785,0.0,0.0,0.0,0,0,5,1002,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,double-object,0.9960278053624627,0.0,0.0,0.0,0,0,4,1003,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,existential-it,0.9791459781529295,0.0,0.0,0.0,0,0,21,986,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,demonstrative-them,0.9841112214498511,0.0625,0.5,0.1111111111111111,1,15,1,990,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,appositive-pleonastic-pronoun,0.9841112214498511,0.0,0.0,0.0,0,0,16,991,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,bin,0.9175769612711023,0.07317073170731707,0.46153846153846156,0.12631578947368421,6,76,7,918,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,verb-stem,0.2899702085402185,0.02861035422343324,0.9130434782608695,0.05548216644649934,21,713,2,271,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,past-tense-swap,0.8232373386295928,0.04395604395604396,0.6666666666666666,0.08247422680412371,8,174,4,821,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,zero-rel-pronoun,0.9960278053624627,0.0,0.0,0.0,0,0,4,1003,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,preterite-had,0.9811320754716981,0.125,0.2857142857142857,0.17391304347826086,2,14,5,986,1008
QWEN2.5_QWEN25_FS_noCTX_Leg,bare-got,0.9702085402184707,0.3548387096774194,0.5238095238095238,0.4230769230769231,11,20,10,966,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,zero-poss,0.9462686567164179,0.021739130434782608,0.1,0.03571428571428571,1,45,9,950,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,zero-copula,0.8925373134328358,0.045454545454545456,0.0625,0.05263157894736842,3,63,45,894,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,double-tense,0.9950248756218906,0.0,0.0,0.0,0,5,0,1000,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,be-construction,0.9741293532338309,0.0,0.0,0.0,0,22,4,979,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,resultant-done,0.9940298507462687,0.2,0.3333333333333333,0.25,1,4,2,998,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,finna,0.9950248756218906,0.0,0.0,0.0,0,5,0,1000,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,come,0.9900497512437811,0.0,0.0,0.0,0,10,0,995,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,double-modal,0.9980099502487563,0.0,0.0,0.0,0,2,0,1003,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,multiple-neg,0.7954319761668321,0.1271186440677966,1.0,0.22556390977443608,30,206,0,771,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,neg-inversion,0.9761194029850746,0.0,0.0,0.0,0,23,1,981,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,n-inv-neg-concord,0.8638170974155069,0.0,0.0,0.0,0,137,0,869,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,aint,0.9592850049652433,0.14583333333333334,1.0,0.2545454545454545,7,41,0,959,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,zero-3sg-pres-s,0.9642502482621649,0.11764705882352941,0.08695652173913043,0.1,2,15,21,969,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,is-was-gen,0.9731876861966237,0.5,0.2222222222222222,0.3076923076923077,6,6,21,974,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,zero-pl-s,0.9900695134061569,0.0,0.0,0.0,0,5,5,997,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,double-object,0.9950347567030785,0.0,0.0,0.0,0,1,4,1002,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,existential-it,0.9751737835153923,0.0,0.0,0.0,0,4,21,982,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,demonstrative-them,0.9781312127236581,0.08333333333333333,1.0,0.15384615384615385,2,22,0,982,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,appositive-pleonastic-pronoun,0.9801192842942346,0.0,0.0,0.0,0,4,16,986,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,bin,0.9383697813121272,0.09836065573770492,0.46153846153846156,0.16216216216216217,6,55,7,938,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,verb-stem,0.5984095427435387,0.02729528535980149,0.4782608695652174,0.051643192488262914,11,392,12,591,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,past-tense-swap,0.8449304174950298,0.032467532467532464,0.4166666666666667,0.060240963855421686,5,149,7,845,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,zero-rel-pronoun,0.9821073558648111,0.0625,0.25,0.1,1,15,3,987,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,preterite-had,0.9821073558648111,0.17647058823529413,0.42857142857142855,0.25,3,14,4,985,1008
QWEN2.5_QWEN25_FS_noCTX_noLeg,bare-got,0.9761431411530815,0.43478260869565216,0.47619047619047616,0.45454545454545453,10,13,11,972,1008
QWEN2.5_QWEN25_FScot_CTX1t_Leg,zero-poss,0.9875776397515528,0.0,0.0,0.0,0,1,5,477,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,zero-copula,0.9233954451345756,0.0,0.0,0.0,0,16,21,446,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,be-construction,0.9937888198757764,0.0,0.0,0.0,0,0,3,480,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,resultant-done,0.9979296066252588,0.5,1.0,0.6666666666666666,1,1,0,481,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,finna,0.9917184265010351,0.0,0.0,0.0,0,4,0,479,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,multiple-neg,0.8923395445134575,0.1746031746031746,1.0,0.2972972972972973,11,52,0,420,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,neg-inversion,0.9606625258799172,0.05,1.0,0.09523809523809523,1,19,0,463,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,n-inv-neg-concord,0.8964803312629399,0.0,0.0,0.0,0,50,0,433,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,aint,0.9834368530020704,0.3333333333333333,1.0,0.5,4,8,0,471,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,zero-3sg-pres-s,0.927536231884058,0.08333333333333333,0.13333333333333333,0.10256410256410256,2,22,13,446,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,is-was-gen,0.9730848861283644,0.0,0.0,0.0,0,0,13,470,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,zero-pl-s,0.9979296066252588,0.0,0.0,0.0,0,1,0,482,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,existential-it,0.9875776397515528,0.0,0.0,0.0,0,0,6,477,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,demonstrative-them,0.9937888198757764,0.0,0.0,0.0,0,3,0,480,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,appositive-pleonastic-pronoun,0.9937888198757764,0.0,0.0,0.0,0,0,3,480,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,bin,0.9917184265010351,0.5,0.25,0.3333333333333333,1,1,3,478,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,verb-stem,0.15320910973084886,0.009708737864077669,0.8,0.019184652278177457,4,408,1,70,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,past-tense-swap,0.6894409937888198,0.006622516556291391,1.0,0.013157894736842105,1,150,0,332,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,preterite-had,0.9855072463768116,0.0,0.0,0.0,0,7,0,476,483
QWEN2.5_QWEN25_FScot_CTX1t_Leg,bare-got,0.979296066252588,0.0,0.0,0.0,0,3,7,473,483
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,zero-poss,0.967948717948718,0.0,0.0,0.0,0,10,5,453,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,zero-copula,0.9145299145299145,0.0,0.0,0.0,0,19,21,428,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,double-tense,0.9957264957264957,0.0,0.0,0.0,0,2,0,466,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,be-construction,0.9893162393162394,0.0,0.0,0.0,0,2,3,463,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,resultant-done,0.9957264957264957,0.3333333333333333,1.0,0.5,1,2,0,465,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,finna,0.9914529914529915,0.0,0.0,0.0,0,4,0,464,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,multiple-neg,0.8846153846153846,0.16923076923076924,1.0,0.2894736842105263,11,54,0,403,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,neg-inversion,0.9209401709401709,0.02631578947368421,1.0,0.05128205128205128,1,37,0,430,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,n-inv-neg-concord,0.8952991452991453,0.0,0.0,0.0,0,49,0,419,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,aint,0.9615384615384616,0.18181818181818182,1.0,0.3076923076923077,4,18,0,446,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,zero-3sg-pres-s,0.9230769230769231,0.07692307692307693,0.14285714285714285,0.1,2,24,12,430,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,is-was-gen,0.9743589743589743,0.0,0.0,0.0,0,0,12,456,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,zero-pl-s,0.9978632478632479,0.0,0.0,0.0,0,1,0,467,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,existential-it,0.9850427350427351,0.0,0.0,0.0,0,1,6,461,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,demonstrative-them,0.9914529914529915,0.0,0.0,0.0,0,4,0,464,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,appositive-pleonastic-pronoun,0.9935897435897436,0.0,0.0,0.0,0,0,3,465,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,bin,0.9871794871794872,0.0,0.0,0.0,0,3,3,462,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,verb-stem,0.3076923076923077,0.009202453987730062,0.75,0.01818181818181818,3,323,1,141,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,past-tense-swap,0.5598290598290598,0.004830917874396135,1.0,0.009615384615384616,1,206,0,261,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,preterite-had,0.9850427350427351,0.0,0.0,0.0,0,7,0,461,468
QWEN2.5_QWEN25_FScot_CTX1t_noLeg,bare-got,0.9786324786324786,0.0,0.0,0.0,0,3,7,458,468
QWEN2.5_QWEN25_FScot_CTX2t_Leg,zero-poss,0.9802631578947368,0.0,0.0,0.0,0,4,5,447,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,zero-copula,0.9166666666666666,0.0,0.0,0.0,0,18,20,418,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,be-construction,0.9912280701754386,0.0,0.0,0.0,0,1,3,452,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,resultant-done,0.993421052631579,0.0,0.0,0.0,0,2,1,453,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,finna,0.9912280701754386,0.0,0.0,0.0,0,4,0,452,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,multiple-neg,0.9057017543859649,0.2037037037037037,1.0,0.3384615384615385,11,43,0,402,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,neg-inversion,0.9495614035087719,0.041666666666666664,1.0,0.08,1,23,0,432,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,n-inv-neg-concord,0.9122807017543859,0.0,0.0,0.0,0,40,0,416,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,aint,0.9671052631578947,0.21052631578947367,1.0,0.34782608695652173,4,15,0,437,456
QWEN2.5_QWEN25_FScot_CTX2t_Leg,zero-3sg-pres-s,0.9144736842105263,0.0967741935483871,0.21428571428571427,0.13333333333333333,3,28,11,414,456
