sentence,appositive-pleonastic-pronoun__Gold,appositive-pleonastic-pronoun__Razan,appositive-pleonastic-pronoun__Tilly,features_disagreed,bin__Gold,bin__Razan,bin__Tilly,zero-rel-pronoun__Gold,zero-rel-pronoun__Razan,zero-rel-pronoun__Tilly,bare-got__Gold,bare-got__Razan,bare-got__Tilly,past-tense-swap__Gold,past-tense-swap__Razan,past-tense-swap__Tilly,be-construction__Gold,be-construction__Razan,be-construction__Tilly,resultant-done__Gold,resultant-done__Razan,resultant-done__Tilly,is-was-gen__Gold,is-was-gen__Razan,is-was-gen__Tilly,demonstrative-them__Gold,demonstrative-them__Razan,demonstrative-them__Tilly,existential-it__Gold,existential-it__Razan,existential-it__Tilly,double-object__Gold,double-object__Razan,double-object__Tilly,verb-stem__Gold,verb-stem__Razan,verb-stem__Tilly,zero-3sg-pres-s__Gold,zero-3sg-pres-s__Razan,zero-3sg-pres-s__Tilly,zero-pl-s__Gold,zero-pl-s__Razan,zero-pl-s__Tilly,double-tense__Gold,double-tense__Razan,double-tense__Tilly,zero-copula__Gold,zero-copula__Razan,zero-copula__Tilly,multiple-neg__Gold,multiple-neg__Razan,multiple-neg__Tilly,neg-inversion__Gold,neg-inversion__Razan,neg-inversion__Tilly,finna__Gold,finna__Razan,finna__Tilly,n-inv-neg-concord__Gold,n-inv-neg-concord__Razan,n-inv-neg-concord__Tilly,preterite-had__Gold,preterite-had__Razan,preterite-had__Tilly,zero-poss__Gold,zero-poss__Razan,zero-poss__Tilly
"We stayed down there, and her son, he was young.",1.0,,0.0,"appositive-pleonastic-pronoun, bin",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whereas though New York, everybody, their whole offense was based off one on one playing, one on one, um, when they got the ball.",1.0,0.0,,"appositive-pleonastic-pronoun, bare-got",,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whereas though back then the older guys, they'll see us, the ones- the guys- the younger guys, you know, that- they know we into sports and we don't deal in that type of activity.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeah, us as kids, they saw us- they'll see us, especially the ones that, you know, they knew it wasn't their lifestyle, we'll be in their area, hey y'all need to go.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"and the average person in the city, some of 'em don't have a car to take their kid to like a- uh, a private school or something like that.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And I got a- a stationary bicycle right now.,,,,bare-got,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And then I got a brother in Norfolk.,,,,bare-got,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Got a niece there.,,,,bare-got,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It was community college then, and got my GED.",,,,bare-got,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, involved in interaction with other individuals yeah, where as though now, you got your phone, or computer or laptop, you fine as a child.",,,,bare-got,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, yeah but the funny thing is I never- I never got a beating and I never got a punish.",,,,"bare-got, past-tense-swap",,,,,,,1.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeah, I got nieces and nephews.",,,,bare-got,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"But I- I don't just give her stuff just to be giving her- I mean, I explain to her, you know, why I'm doing it.",,,,be-construction,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, cause I could draw, really really good, and I wanted to be like a artist, engineer, or I be on TV playing sports.",,,,be-construction,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeah cause they b- be down here.,,,,"be-construction, resultant-done",,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And it was instances where after we been there for a while, we were one on one with individuals probably twice my age.",,,,"bin, zero-rel-pronoun",1.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And that was my first time tasting it, I been buying it every since.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And that's how I always been, put yours to the side to try and help them.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And, um, my mentor a guy named RD-NAME-5 and I- I ran into him like a couple years ago I been friends with him ever since.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, she was- you could tell she been crying all night, she didn't sleep when I was talking to her.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I went over there, course we had fun, we exchanged numbers, we been talking every since.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My closest friend is my barber and I been knowing him ever since we- I was like, ten years old.",,,,"bin, is-was-gen",1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other people started finding out I can cook so I been doing it for like the last four years.,,,,"bin, past-tense-swap, zero-rel-pronoun",1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, sh- I been knowing her since like, the nineties.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeah, I mean, all of my friends- I have- really don't have- of course the p- other than the people here, but like close- close friends, I been knowing for decades.",,,,bin,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was something going on.,,,,"demonstrative-them, existential-it",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And she said, I'm tryna cook me something to eat.",,,,double-object,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And she work for Miss RD-NAME-4 for year with her and her children and her husband.,,,,"double-object, past-tense-swap, verb-stem, zero-3sg-pres-s, zero-pl-s",,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,0.0,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Sometime seven day.,,,,"double-object, zero-pl-s",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Two brother.,,,,"double-object, zero-pl-s",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
"And so my sister didn't have a car then and she said, what we gonna do?",,,,"double-tense, zero-copula, zero-rel-pronoun",,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,
It gonna bust.,,,,"double-tense, zero-copula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,
"Not that I'm a mumbo sauce connoisseur, it's two different kinds.",,,,"double-tense, existential-it",,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Then she told her this not no tumor.,,,,"double-tense, multiple-neg, neg-inversion, zero-copula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,,0.0,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,
"You talking about the brother and si- They stay on the next street, Beasley.",,,,"double-tense, zero-copula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
"Dad was if it was a title, Jack of all trades.",,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I knew it was more, had to be more that, um- From then on, I always took a liking to like, kids.",,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, I ain't- it wasn't really no big issue at the time, but now that I look at it- but I'm starting to learn more.",,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, I t- that was enough for me.",,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, because I ran into problems when I was coaching whereas though it was a single mother, child's really really really spoiled.",,,,"existential-it, zero-copula",,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
"I mean, it's nothing really that we could have possibly done to change it because she didn't know and neither we- I mean, we didn't know either I guess he was sick, so.",,,,"existential-it, is-was-gen, past-tense-swap",,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a lot of stuff I learned from him that we never got taught in school.,,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's nothing to fall back on, and I mean, not to say that every, um- Cause I- I- like I said, I didn't think my neighborhood was bad, I mean, you j- I'm- I'm never gonna be a person- and I preach this to my daughter, you never be a product of your environment.",,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No, unless it's a drastic change.",,,,existential-it,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well at that time it was Carolina Enterprise but it done changed names.,,,,"finna, resultant-done",,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,
All us was born here in Princeville.,,,,"is-was-gen, zero-pl-s",,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
"And somebody said, well wait til the mayor come.",,,,"is-was-gen, zero-3sg-pres-s",,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
And the choir sung and the ushers was there too.,,,,"is-was-gen, past-tense-swap, zero-pl-s, zero-rel-pronoun",,,,0.0,,1.0,,,,1.0,,0.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Cause it's Saturday morning.,,,,is-was-gen,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cause they- they was from- I can't- forgot what city they was from, but it was nowhere near DC of course.",,,,"is-was-gen, zero-rel-pronoun",,,,1.0,0.0,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior high school I think was my best years.,,,,is-was-gen,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She stay in Tarboro.,,,,"is-was-gen, verb-stem, zero-3sg-pres-s",,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,0.0,1.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
They stayed for like another day.,,,,is-was-gen,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They was real nice.,,,,"is-was-gen, zero-pl-s",,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Uh-huh cause some of 'em was down to the town hall, the old town hall.",,,,"is-was-gen, zero-pl-s, zero-rel-pronoun",,,,0.0,,1.0,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Um, I would say it's nothing we coulda done, we did everything we could.",,,,"is-was-gen, past-tense-swap",,,,,,,,,,1.0,0.0,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, what makes it unique is the fact that there's four or five instruments, um, coming together, at one time to play one song.",,,,is-was-gen,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And cigarette butts and I don't smoke nothing.,,,,"multiple-neg, neg-inversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
And then she didn't have no more children til she had this girl.,,,,"multiple-neg, neg-inversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,
And then she had RD-NAME-2 and she told me said she wasn't gonna have no more children.,,,,"multiple-neg, neg-inversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,
But it wasn't one in my house either.,,,,multiple-neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
"Cause one thing I would like to go on and out, we couldn't get no news.",,,,"multiple-neg, neg-inversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,
I think I'm more health conscious now because I'm getting older.,,,,multiple-neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
"I'm saying to myself, I didn't do no report yesterday.",,,,multiple-neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
It don't exist no more though.,,,,"multiple-neg, zero-3sg-pres-s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
"Said cause she did different with RD-NAME-2 than she did with the other child, sure enough she didn't have no more.",,,,"multiple-neg, neg-inversion, past-tense-swap",,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,
"You is like, you don't want nobody messing with your brother and sister, I mean, because that's your brother and sister.",,,,"multiple-neg, zero-copula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,
"And when he saw me, he was like, man why you ain't try out for the team?",,,,"n-inv-neg-concord, past-tense-swap",,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,
"I mean, just- Yeah he was sick and ain't nobody knew it.",,,,n-inv-neg-concord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
Didn't know nobody.,,,,neg-inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,
"I'm not gonna punish him that much, he- he doesn't never get in trouble and he does well in school.",,,,neg-inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,
And I always wanted a sister.,,,,past-tense-swap,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And I saw how- in general how it brung like, a lot of us like, together.",,,,past-tense-swap,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And one say she was waiting on her son.,,,,"past-tense-swap, verb-stem, zero-3sg-pres-s",,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
But then my health went to failing me.,,,,"past-tense-swap, zero-rel-pronoun",,,,0.0,0.0,1.0,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I said, you haven't ate?",,,,"past-tense-swap, zero-rel-pronoun",,,,0.0,,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It being so fair, I just know the water was going down.",,,,"past-tense-swap, verb-stem",,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It depend on how sick the person was.,,,,"past-tense-swap, zero-3sg-pres-s",,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Now they building these condos, um, new developments, and they moving a majority of the black people that was living in the area to PG.",,,,past-tense-swap,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RD-NAME-2 say, we can't stay here.",,,,"past-tense-swap, verb-stem, zero-3sg-pres-s",,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say cause they had then called and see what the water was gonna do.,,,,"past-tense-swap, preterite-had, verb-stem",,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
"She hadn't been uh, got here from Seattle, Washington.",,,,"past-tense-swap, zero-rel-pronoun",,,,0.0,,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The water had did it, so I didn't even recognize it.",,,,"past-tense-swap, preterite-had, zero-rel-pronoun",,,,0.0,,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
They coulda beat 'em last year I think.,,,,"past-tense-swap, verb-stem",,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They say we gonna need nurse's aid one.,,,,"past-tense-swap, verb-stem, zero-copula",,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,
"Uh, throwing snowballs at the bus when it droves past, I mean.",,,,past-tense-swap,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uh, we used to, we haven't done that lately.",,,,past-tense-swap,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And I had come home but I went back to take her and she was so happy.,,,,"preterite-had, verb-stem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,
And they had cut my hours to one or two.,,,,preterite-had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,
And this was something I had never really initially wanted to do on my own.,,,,"preterite-had, zero-rel-pronoun",,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,
And I just enjoy the fact that we can go somewhere and listen to music for free.,,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And I think back then it was a lot of rec centers we can go to.,,,,"verb-stem, zero-rel-pronoun",,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And my sister went but I didn't know nothing about it.,,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anywhere you go, I could see water.",,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because it was nobody to follow behind because you don't- you don't know nobody, nah.",,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But the last couple years we have it at- we had it at Myrtle Beach one year.,,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cause I watch what- like I said what my older brother and my older sister all the trouble they got into, I was like, nah I'm'a do the exact opposite.",,,,"verb-stem, zero-rel-pronoun",,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
