feature,feature_set,instr,leg,d_precision_noCTX_minus_CTX1t,d_recall_noCTX_minus_CTX1t,d_f1_noCTX_minus_CTX1t
n-inv-neg-concord,25,ZScot,Leg,0.0,0.0,0.0
n-inv-neg-concord,25,ZScot,noLeg,0.0,0.0,0.0
neg-inversion,25,FS,Leg,0.0,0.0,0.0
neg-inversion,25,FS,noLeg,0.0,0.0,0.0
neg-inversion,25,FScot,Leg,0.0,0.0,0.0
neg-inversion,25,FScot,noLeg,0.0,0.0,0.0
neg-inversion,25,ZS,Leg,0.0,0.0,0.0
neg-inversion,25,ZS,noLeg,0.0,0.0,0.0
neg-inversion,25,ZScot,Leg,0.0,0.0,0.0
neg-inversion,25,ZScot,noLeg,0.0,0.0,0.0
past-tense-swap,25,FS,Leg,0.04561403508771933,-0.0625,-0.0055299539170506895
past-tense-swap,25,FS,noLeg,0.00512820512820511,-0.10476190476190472,-0.051724137931034475
past-tense-swap,25,FScot,Leg,-0.033333333333333326,0.0,-0.015151515151515138
past-tense-swap,25,FScot,noLeg,-0.038461538461538436,0.0,-0.015053763440860235
past-tense-swap,25,ZS,Leg,-0.033333333333333326,-0.06666666666666665,-0.04946236559139783
past-tense-swap,25,ZS,noLeg,0.14393939393939392,0.033333333333333326,0.07407407407407407
past-tense-swap,25,ZScot,Leg,-0.033333333333333326,0.0,-0.015151515151515138
past-tense-swap,25,ZScot,noLeg,0.0625,0.05882352941176472,0.06060606060606061
preterite-had,25,FS,Leg,-1.0,-0.5,-0.6666666666666666
preterite-had,25,FS,noLeg,-0.33333333333333337,0.2,0.16666666666666669
preterite-had,25,FScot,Leg,0.3333333333333333,0.16666666666666666,0.2222222222222222
preterite-had,25,FScot,noLeg,-0.5,-0.5,-0.55
preterite-had,25,ZS,Leg,1.0,0.5,0.6666666666666666
preterite-had,25,ZS,noLeg,0.0,0.08333333333333331,0.06666666666666671
preterite-had,25,ZScot,Leg,0.25,0.16666666666666666,0.2
preterite-had,25,ZScot,noLeg,0.0,0.0,0.0
resultant-done,25,FS,Leg,0.0,0.0,0.0
resultant-done,25,FS,noLeg,0.0,0.0,0.0
resultant-done,25,FScot,Leg,0.0,0.0,0.0
resultant-done,25,FScot,noLeg,0.0,0.0,0.0
resultant-done,25,ZS,Leg,0.0,0.0,0.0
resultant-done,25,ZS,noLeg,0.0,0.0,0.0
resultant-done,25,ZScot,Leg,0.0,0.0,0.0
resultant-done,25,ZScot,noLeg,0.0,0.0,0.0
verb-stem,25,FS,Leg,0.04619565217391303,-0.11742424242424243,-0.050000000000000044
verb-stem,25,FS,noLeg,-0.22171945701357465,-0.21861471861471865,-0.22624434389140274
verb-stem,25,FScot,Leg,0.1384615384615384,-0.12,-0.031578947368421095
verb-stem,25,FScot,noLeg,0.09444444444444444,0.03999999999999998,0.06098191214470283
verb-stem,25,ZS,Leg,0.0625,-0.10984848484848483,-0.07430340557275539
verb-stem,25,ZS,noLeg,-0.08035714285714285,-0.10606060606060605,-0.10060060060060061
verb-stem,25,ZScot,Leg,-0.009287925696594423,-0.03999999999999998,-0.03030303030303033
verb-stem,25,ZScot,noLeg,0.028409090909090884,-0.07999999999999996,-0.04151530877010895
zero-3sg-pres-s,25,FS,Leg,0.0,0.02620967741935487,0.011082693947144007
zero-3sg-pres-s,25,FS,noLeg,0.02777777777777779,0.032258064516129004,0.02985074626865669
zero-3sg-pres-s,25,FScot,Leg,-0.003759398496240629,0.0625,0.02515991471215351
zero-3sg-pres-s,25,FScot,noLeg,0.018768768768768762,0.0,0.010656436487638588
zero-3sg-pres-s,25,ZS,Leg,-0.005564387917329161,0.09354838709677427,0.036739380022962065
zero-3sg-pres-s,25,ZS,noLeg,-0.09343434343434343,-0.032258064516129115,-0.06623134328358204
zero-3sg-pres-s,25,ZScot,Leg,-0.03205128205128205,0.03125,-0.005385252692626352
zero-3sg-pres-s,25,ZScot,noLeg,-0.011695906432748537,0.03125,0.006722689075630339
zero-copula,25,FS,Leg,0.08366013071895428,0.018089315997738775,0.06516105146242124
zero-copula,25,FS,noLeg,0.0042075736325385416,0.0005844535359438296,0.0033333333333332993
zero-copula,25,FScot,Leg,0.011922663802363065,0.049180327868852514,0.02370585389453317
zero-copula,25,FScot,noLeg,0.01220122012201219,0.0,0.009413580246913522
zero-copula,25,ZS,Leg,0.04953485562401838,0.001667129758266106,0.03649122807017546
zero-copula,25,ZS,noLeg,-0.0076182838813151355,0.0,-0.005311713726586564
zero-copula,25,ZScot,Leg,-0.024283071230342235,-0.016393442622950838,-0.02285473329116594
zero-copula,25,ZScot,noLeg,0.04008769182586913,-0.032786885245901565,0.020747545137789092
zero-pl-s,25,FS,Leg,-0.033333333333333326,-0.16666666666666674,-0.10606060606060608
zero-pl-s,25,FS,noLeg,0.20000000000000007,0.16666666666666663,0.18181818181818188
zero-pl-s,25,FScot,Leg,0.06666666666666665,0.16666666666666663,0.12121212121212122
zero-pl-s,25,FScot,noLeg,0.09523809523809523,0.0,0.05128205128205121
zero-pl-s,25,ZS,Leg,0.15000000000000002,0.0,0.054545454545454564
zero-pl-s,25,ZS,noLeg,0.0,0.0,0.0
zero-pl-s,25,ZScot,Leg,0.15000000000000002,0.0,0.054545454545454564
zero-pl-s,25,ZScot,noLeg,0.06666666666666665,0.16666666666666663,0.12121212121212122
zero-poss,25,FS,Leg,-0.12587412587412594,0.0,-0.06260869565217397
zero-poss,25,FS,noLeg,-0.1071428571428571,0.21818181818181825,0.07672634271099743
zero-poss,25,FScot,Leg,0.06666666666666665,-0.08333333333333337,-0.015151515151515138
zero-poss,25,FScot,noLeg,-0.08181818181818179,0.0,-0.035573122529644285
zero-poss,25,ZS,Leg,0.1515151515151516,0.08333333333333337,0.11594202898550732
zero-poss,25,ZS,noLeg,0.11188811188811187,0.0,0.055652173913043446
zero-poss,25,ZScot,Leg,0.0,0.0,0.0
zero-poss,25,ZScot,noLeg,-0.09999999999999998,-0.08333333333333337,-0.09090909090909094
zero-rel-pronoun,25,FS,Leg,-0.41666666666666663,-0.026839826839826837,-0.05120910384068278
zero-rel-pronoun,25,FS,noLeg,0.0,-0.000840336134453782,-0.0013495276653171379
zero-rel-pronoun,25,FScot,Leg,0.0,-0.001422475106685639,-0.002322880371660868
zero-rel-pronoun,25,FScot,noLeg,0.0,0.0,0.0
zero-rel-pronoun,25,ZS,Leg,0.5,-0.0285204991087344,-0.04643962848297213
zero-rel-pronoun,25,ZS,noLeg,-0.16666666666666663,-0.026984126984126982,-0.048510048510048503
zero-rel-pronoun,25,ZScot,Leg,-0.25,-0.02631578947368421,-0.047619047619047616
zero-rel-pronoun,25,ZScot,noLeg,0.0,0.0,0.0
